ADC,Mass
671,0
768,0
656,0
735,0
671,0
680,0
540,0
559,0
575,0
567,0
650,0
671,0
687,0
735,0
767,0
671,0
687,0
592,0
543,0
503,0
639,0
704,0
735,0
767,0
1183,1.488
1344,1.488
1152,1.488
1332,1.488
1177,1.488
1344,1.488
1400,1.488
1263,1.488
1456,1.488
1311,1.488
1343,1.488
1375,1.488
1328,1.488
1280,1.488
1279,1.488
1216,1.488
1311,1.488
1344,1.488
1215,1.488
1183,1.488
1231,1.488
1224,1.488
1207,1.488
1215,1.488
1344,1.488
1264,1.488
1312,1.488
1855,2.466
1647,2.466
1599,2.466
1568,2.466
1503,2.466
1664,2.466
1664,2.466
1584,2.466
1503,2.466
1576,2.466
1631,2.466
1631,2.466
1680,2.466
1680,2.466
1663,2.466
1615,2.466
1623,2.466
1791,2.466
1696,2.466
1488,2.466
1496,2.466
1507,2.466
1728,2.466
1808,2.466
1791,2.466
2047,2.97
2080,2.97
1952,2.97
1952,2.97
1920,2.97
1984,2.97
1735,2.97
1977,2.97
1856,2.97
1663,2.97
1792,2.97
1728,2.97
1791,2.97
2002,2.97
1856,2.97
1792,2.97
2032,2.97
1919,2.97
1719,2.97
1759,2.97
1824,2.97
1664,2.97
1696,2.97
1631,2.97
1664,2.97
1792,2.97
1889,2.97
1727,2.97
1952,2.97
2047,2.97
1984,2.97
2047,2.97
2176,2.97
2096,2.97
2015,2.97
1951,2.97
2032,2.97
1937,3.168
2175,3.168
2048,3.168
1887,3.168
2047,3.168
1872,3.168
2096,3.168
2238,3.168
2176,3.168
1975,3.168
1983,3.168
2176,3.168
2047,3.168
2176,3.168
2175,3.168
2239,3.168
2047,3.168
1983,3.168
2172,3.168
2032,3.168
1855,3.168
2112,3.168
1887,3.168
2112,3.168
1983,3.168
2286,3.168
2215,3.168
2239,3.168
2432,3.566
2240,3.566
2304,3.566
2408,3.566
2303,3.566
2304,3.566
2208,3.566
2047,3.566
1943,3.566
1919,3.566
1936,3.566
1872,3.566
2016,3.566
1968,3.566
1855,3.566
2080,3.566
1919,3.566
1984,3.566
2047,3.566
2207,3.566
2685,3.566
2751,3.566
2432,3.566
2560,3.566
2368,3.566
1887,3.566
1952,3.566
1792,3.566
1951,3.566
1776,3.566
1984,3.566
2236,3.566
1919,3.566
2240,3.566
2559,3.566
2336,3.566
2671,3.566
2720,3.566
2495,3.566
2047,3.566
1919,3.566
1952,3.566
1727,3.566
1872,3.566
2047,3.568
2025,3.568
2047,3.568
2176,3.568
2096,3.568
2335,3.568
2303,3.568
2239,3.568
2143,3.568
2376,3.568
2304,3.568
2416,3.568
2304,3.568
2367,3.568
2367,3.568
2303,3.568
2047,3.568
2367,3.762
2432,3.762
2167,3.762
2143,3.762
2208,3.762
2303,3.762
2047,3.762
2015,3.762
2308,3.762
2304,3.762
2176,3.762
2208,3.762
2632,3.762
2368,3.762
2264,3.762
2496,3.762
2143,3.762
2432,3.762
2047,3.762
2384,3.762
2224,3.762
1936,3.762
1919,3.762
2047,3.762
1855,3.762
1791,3.762
1791,3.762
1951,3.762
2047,3.762
2303,3.762
2476,3.762
2496,3.762
2159,3.762
2435,3.762
2424,3.762
2303,3.762
3551,6.9
3648,6.9
4095,6.9
3904,6.9
4016,6.9
3583,6.9
3840,6.9
3839,6.9
4041,6.9
3504,6.9
4031,6.9
3840,6.9
3967,6.9
3712,6.9
4033,6.9
3903,6.9
3968,6.9
4016,6.9
4095,6.9
3583,6.9
3583,6.9
3648,6.9
3551,6.9
3984,6.9
3840,6.9
3520,6.9
3616,6.9
3984,6.9
4027,6.9
4081,6.9
3711,6.9
3555,6.9
3935,6.9
3583,6.9
3536,6.9
3776,6.9
